               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040599,            0.037801,                   0,             0.79003,             0.68535,             0.76583,             0.42782,            0.041934,            0.025987,                   0,            0.070009,           0.0033323,           0.0033323
                   1,            0.041184,            0.038578,                   0,              0.7975,             0.65937,             0.75611,             0.45602,            0.039855,            0.026385,                   0,            0.039679,           0.0063357,           0.0063357
                   2,            0.043204,            0.040495,                   0,             0.78668,             0.64081,             0.73523,             0.42556,            0.041834,             0.02739,                   0,           0.0090195,           0.0090091,           0.0090091
                   3,            0.044179,            0.041646,                   0,             0.77925,              0.6515,             0.74302,             0.43948,            0.040834,            0.026983,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.043831,            0.041364,                   0,             0.78917,             0.64986,             0.74945,             0.44934,            0.040213,            0.026654,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.043207,            0.040653,                   0,             0.79678,              0.6577,             0.75541,             0.46084,            0.039542,            0.026435,                   0,             0.00802,             0.00802,             0.00802
                   6,             0.04277,            0.040616,                   0,             0.79598,             0.65853,             0.75822,             0.46997,             0.03904,            0.026219,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.042457,            0.040337,                   0,             0.79486,             0.66596,              0.7629,             0.47372,            0.038612,            0.025983,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.042066,            0.040132,                   0,             0.80117,             0.66738,             0.76585,             0.47771,            0.038628,            0.025844,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.041732,            0.039736,                   0,             0.80924,             0.66837,             0.77091,              0.4867,            0.038008,            0.025605,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.041343,            0.039587,                   0,             0.79996,             0.68015,             0.77345,             0.49113,             0.03765,            0.025539,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.041208,            0.039506,                   0,             0.80197,             0.68006,             0.77521,             0.49486,            0.037393,            0.025476,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.040817,            0.039001,                   0,             0.80919,             0.67857,             0.77824,             0.50005,            0.037215,            0.025316,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.040527,             0.03894,                   0,             0.80827,             0.68062,             0.77991,             0.50207,            0.037109,            0.025218,                   0,             0.00406,             0.00406,             0.00406
                  14,             0.04024,            0.038644,                   0,             0.81324,              0.6796,             0.78111,             0.50423,             0.03696,            0.025157,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.039794,            0.038268,                   0,               0.819,              0.6782,             0.78234,             0.50625,            0.036834,            0.025097,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.039537,            0.037932,                   0,             0.81575,             0.68127,              0.7828,             0.50877,            0.036717,            0.025055,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.039245,            0.037701,                   0,             0.81677,             0.68136,              0.7835,             0.51028,            0.036603,            0.025018,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.038833,            0.037436,                   0,             0.81648,             0.68239,             0.78469,             0.51109,             0.03652,            0.024985,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.038455,            0.037013,                   0,             0.81495,             0.68498,             0.78594,             0.51236,             0.03644,            0.024951,                   0,             0.00109,             0.00109,             0.00109
