               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040304,            0.037483,                   0,              0.7943,             0.68114,             0.76578,             0.42781,            0.041868,               0.026,                   0,            0.070009,           0.0033323,           0.0033323
                   1,            0.040845,            0.038224,                   0,              0.7941,              0.6628,             0.75874,             0.45805,            0.039714,            0.026444,                   0,            0.039679,           0.0063357,           0.0063357
                   2,            0.042846,            0.040132,                   0,             0.79282,              0.6384,             0.73957,             0.43045,            0.041677,            0.027237,                   0,           0.0090195,           0.0090091,           0.0090091
                   3,            0.043817,            0.041298,                   0,             0.78305,             0.65477,             0.74168,             0.43924,            0.040821,            0.026966,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.043483,            0.041069,                   0,             0.78724,             0.65645,             0.75077,             0.45043,            0.040166,            0.026586,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.042838,             0.04033,                   0,             0.80525,             0.64954,             0.75672,             0.46186,            0.039518,            0.026313,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.042455,            0.040307,                   0,             0.79617,             0.66509,             0.76151,               0.469,            0.039014,            0.026101,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.04213,            0.040011,                   0,             0.79693,             0.66957,             0.76491,             0.47589,            0.038583,            0.025948,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.041736,            0.039812,                   0,             0.80197,             0.66828,             0.76784,             0.48226,            0.038231,            0.025835,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.041408,            0.039441,                   0,             0.81118,             0.66531,              0.7712,             0.48773,            0.037927,            0.025636,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.041016,            0.039295,                   0,             0.80828,             0.67384,             0.77542,              0.4922,            0.037561,            0.025515,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.040891,            0.039198,                   0,             0.82074,             0.67013,             0.77537,             0.49393,            0.037395,            0.025434,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.040456,            0.038693,                   0,             0.81106,             0.68247,             0.77917,             0.49916,            0.037173,            0.025322,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.040202,            0.038628,                   0,             0.81882,             0.67935,             0.78215,             0.50156,            0.037024,            0.025207,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.039915,            0.038325,                   0,             0.81989,             0.67709,             0.78211,             0.50361,            0.036927,            0.025147,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.039578,            0.038059,                   0,             0.81782,             0.67898,             0.78284,             0.50564,            0.036812,            0.025063,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.039087,            0.037496,                   0,             0.81698,             0.68154,             0.78371,             0.50764,             0.03673,            0.025014,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.038663,            0.037189,                   0,             0.82492,             0.67802,             0.78509,             0.50933,            0.036642,            0.024977,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.038239,            0.036972,                   0,              0.8238,             0.67894,              0.7856,             0.51066,            0.036565,            0.024944,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.037961,            0.036693,                   0,             0.82219,             0.68192,             0.78654,             0.51145,            0.036521,             0.02492,                   0,             0.00109,             0.00109,             0.00109
