               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03607,            0.033531,                   0,              0.8074,             0.69902,               0.792,             0.52916,             0.03531,            0.024632,                   0,             0.06701,          0.00033323,          0.00033323
                   1,            0.035991,            0.033363,                   0,             0.81835,             0.69611,             0.79125,             0.52824,            0.035481,            0.024719,                   0,            0.033984,          0.00064017,          0.00064017
                   2,            0.036202,            0.033645,                   0,             0.81723,             0.68813,             0.78665,             0.52375,            0.035743,            0.024864,                   0,           0.0009311,           0.0009207,           0.0009207
                   3,            0.036426,            0.034019,                   0,             0.81972,             0.68308,              0.7847,             0.52293,            0.035721,            0.024863,                   0,           0.0008812,           0.0008812,           0.0008812
                   4,            0.036576,            0.034145,                   0,             0.81546,             0.68841,             0.78792,             0.52383,            0.035669,            0.024845,                   0,           0.0008812,           0.0008812,           0.0008812
                   5,             0.03639,            0.033766,                   0,             0.81467,             0.69054,             0.78773,             0.52505,            0.035631,            0.024793,                   0,           0.0008416,           0.0008416,           0.0008416
                   6,            0.036492,            0.033982,                   0,             0.81849,             0.68841,              0.7882,             0.52412,            0.035607,            0.024792,                   0,            0.000802,            0.000802,            0.000802
                   7,            0.036488,            0.033925,                   0,             0.81739,             0.68903,             0.78858,             0.52605,            0.035546,            0.024704,                   0,           0.0007624,           0.0007624,           0.0007624
                   8,            0.036382,            0.033933,                   0,             0.81466,             0.69435,             0.78953,             0.52633,            0.035507,            0.024737,                   0,           0.0007228,           0.0007228,           0.0007228
                   9,            0.036367,            0.033724,                   0,             0.81775,              0.6885,             0.79008,             0.52748,            0.035473,            0.024705,                   0,           0.0006832,           0.0006832,           0.0006832
                  10,            0.036269,            0.033785,                   0,             0.81758,             0.69117,             0.79004,             0.52793,            0.035443,            0.024661,                   0,           0.0006436,           0.0006436,           0.0006436
                  11,            0.036335,            0.033843,                   0,             0.82286,             0.68702,             0.79015,             0.52858,              0.0354,            0.024661,                   0,            0.000604,            0.000604,            0.000604
                  12,            0.036133,            0.033551,                   0,             0.82562,             0.68932,             0.79202,             0.52987,            0.035364,            0.024613,                   0,           0.0005644,           0.0005644,           0.0005644
                  13,            0.036145,            0.033584,                   0,             0.83012,             0.68423,             0.79136,             0.53012,            0.035364,            0.024591,                   0,           0.0005248,           0.0005248,           0.0005248
                  14,            0.036056,            0.033543,                   0,             0.82267,               0.686,             0.79022,             0.53039,            0.035332,            0.024591,                   0,           0.0004852,           0.0004852,           0.0004852
                  15,            0.035913,            0.033364,                   0,             0.81211,             0.69249,             0.79134,               0.531,            0.035311,            0.024582,                   0,           0.0004456,           0.0004456,           0.0004456
                  16,            0.035973,             0.03341,                   0,             0.81339,             0.69054,             0.79096,             0.53118,            0.035286,            0.024593,                   0,            0.000406,            0.000406,            0.000406
                  17,            0.035669,            0.033033,                   0,              0.8169,             0.69008,             0.79146,             0.53174,            0.035271,              0.0246,                   0,           0.0003664,           0.0003664,           0.0003664
                  18,            0.035412,            0.032832,                   0,             0.81704,             0.68943,             0.79184,             0.53194,            0.035265,            0.024615,                   0,           0.0003268,           0.0003268,           0.0003268
                  19,            0.035143,            0.032698,                   0,             0.81412,             0.69129,              0.7916,             0.53203,            0.035269,            0.024628,                   0,           0.0002872,           0.0002872,           0.0002872
                  20,            0.035179,            0.032675,                   0,             0.80811,             0.69491,              0.7915,               0.532,            0.035268,            0.024641,                   0,           0.0002476,           0.0002476,           0.0002476
                  21,            0.034978,             0.03229,                   0,              0.8099,             0.69497,             0.79137,             0.53149,            0.035269,            0.024655,                   0,            0.000208,            0.000208,            0.000208
                  22,            0.035084,            0.032484,                   0,             0.81229,             0.69491,             0.79146,             0.53161,            0.035272,            0.024668,                   0,           0.0001684,           0.0001684,           0.0001684
                  23,            0.035057,            0.032404,                   0,             0.81464,             0.69407,             0.79109,             0.53143,            0.035275,            0.024679,                   0,           0.0001288,           0.0001288,           0.0001288
                  24,            0.034944,            0.032423,                   0,             0.81382,             0.69481,             0.79119,             0.53109,            0.035278,            0.024688,                   0,            8.92e-05,            8.92e-05,            8.92e-05
