               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042252,             0.01701,                   0,             0.85371,             0.64192,             0.70725,              0.3988,            0.041712,            0.015146,                   0,            0.067366,          3.2667e-05,          3.2667e-05
                   1,            0.038712,            0.016515,                   0,             0.84842,             0.67165,             0.73286,             0.41705,            0.039211,            0.014563,                   0,            0.034064,          6.3822e-05,          6.3822e-05
                   2,            0.038208,            0.015448,                   0,             0.84906,                 0.7,             0.76309,             0.44047,            0.037658,            0.013861,                   0,          0.00075944,          9.2777e-05,          9.2777e-05
                   3,            0.037152,            0.014562,                   0,             0.86432,               0.715,             0.79896,             0.46076,            0.036559,            0.013067,                   0,            9.01e-05,            9.01e-05,            9.01e-05
                   4,            0.036573,            0.014339,                   0,             0.86006,             0.73752,             0.81739,             0.47089,            0.035415,            0.012699,                   0,            9.01e-05,            9.01e-05,            9.01e-05
                   5,            0.035832,            0.013399,                   0,             0.84744,             0.80546,             0.84341,             0.48011,            0.034714,            0.012286,                   0,            8.68e-05,            8.68e-05,            8.68e-05
                   6,            0.036063,            0.013734,                   0,             0.86172,              0.8101,             0.86024,             0.49095,            0.034109,               0.012,                   0,            8.35e-05,            8.35e-05,            8.35e-05
                   7,            0.034014,            0.012992,                   0,             0.89388,             0.80018,             0.87106,             0.49946,            0.033772,            0.011747,                   0,            8.02e-05,            8.02e-05,            8.02e-05
                   8,            0.034837,            0.012675,                   0,             0.90502,               0.825,              0.8824,             0.50423,            0.033302,            0.011591,                   0,            7.69e-05,            7.69e-05,            7.69e-05
                   9,            0.034279,            0.013008,                   0,             0.89837,             0.83976,              0.8879,             0.51233,            0.032955,            0.011444,                   0,            7.36e-05,            7.36e-05,            7.36e-05
                  10,            0.033144,            0.012577,                   0,              0.9016,             0.82465,             0.89208,             0.51174,            0.032735,            0.011345,                   0,            7.03e-05,            7.03e-05,            7.03e-05
                  11,            0.032811,            0.012427,                   0,             0.90673,             0.82636,             0.89478,             0.51304,            0.032633,            0.011257,                   0,             6.7e-05,             6.7e-05,             6.7e-05
                  12,            0.033409,            0.012332,                   0,             0.94235,             0.81726,             0.89691,             0.51962,            0.032512,            0.011129,                   0,            6.37e-05,            6.37e-05,            6.37e-05
                  13,              0.0331,            0.012379,                   0,             0.94201,             0.81223,             0.90178,             0.52409,            0.032213,            0.011033,                   0,            6.04e-05,            6.04e-05,            6.04e-05
                  14,            0.033201,            0.012058,                   0,             0.93711,             0.81956,             0.90529,             0.52853,            0.032157,            0.010948,                   0,            5.71e-05,            5.71e-05,            5.71e-05
                  15,              0.0316,            0.012324,                   0,             0.94261,             0.82116,             0.90309,             0.52988,            0.032031,            0.010885,                   0,            5.38e-05,            5.38e-05,            5.38e-05
                  16,            0.032828,            0.012425,                   0,             0.94272,             0.82287,             0.90119,             0.52774,            0.031802,            0.010841,                   0,            5.05e-05,            5.05e-05,            5.05e-05
                  17,            0.032207,            0.012555,                   0,             0.93913,                0.83,             0.90248,             0.52794,            0.031656,            0.010767,                   0,            4.72e-05,            4.72e-05,            4.72e-05
                  18,            0.032498,            0.012145,                   0,             0.94255,                0.83,             0.90858,             0.52895,            0.031586,            0.010775,                   0,            4.39e-05,            4.39e-05,            4.39e-05
                  19,            0.032016,            0.012053,                   0,             0.93978,                0.84,             0.90968,             0.53013,            0.031565,            0.010722,                   0,            4.06e-05,            4.06e-05,            4.06e-05
                  20,            0.031775,            0.012008,                   0,             0.92863,                0.83,             0.90355,              0.5334,            0.031521,            0.010675,                   0,            3.73e-05,            3.73e-05,            3.73e-05
                  21,            0.032243,            0.011781,                   0,             0.90814,             0.84029,              0.9051,             0.53471,            0.031287,            0.010655,                   0,             3.4e-05,             3.4e-05,             3.4e-05
                  22,            0.031601,            0.011745,                   0,             0.92994,                0.85,             0.91486,             0.53407,            0.031327,            0.010654,                   0,            3.07e-05,            3.07e-05,            3.07e-05
                  23,            0.031536,            0.011995,                   0,             0.93436,             0.85413,             0.91511,              0.5366,             0.03132,            0.010627,                   0,            2.74e-05,            2.74e-05,            2.74e-05
                  24,            0.031096,            0.011611,                   0,             0.92352,             0.84526,             0.91467,              0.5335,            0.031315,            0.010624,                   0,            2.41e-05,            2.41e-05,            2.41e-05
                  25,            0.031305,            0.011518,                   0,             0.91942,               0.855,             0.91582,             0.53498,            0.031269,            0.010619,                   0,            2.08e-05,            2.08e-05,            2.08e-05
                  26,            0.031675,            0.011968,                   0,             0.92803,             0.83821,             0.91651,             0.53946,            0.031184,            0.010571,                   0,            1.75e-05,            1.75e-05,            1.75e-05
                  27,            0.031899,            0.012233,                   0,             0.91824,              0.8423,             0.91678,             0.53819,            0.031171,            0.010573,                   0,            1.42e-05,            1.42e-05,            1.42e-05
                  28,            0.031963,            0.011954,                   0,              0.9112,             0.87217,             0.91729,             0.53935,            0.031143,            0.010568,                   0,            1.09e-05,            1.09e-05,            1.09e-05
                  29,            0.031228,            0.011516,                   0,              0.9112,             0.87222,              0.9183,             0.53995,             0.03112,            0.010532,                   0,             7.6e-06,             7.6e-06,             7.6e-06
