               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038576,            0.014667,                   0,             0.90062,             0.81561,             0.87455,              0.4992,            0.034575,             0.01135,                   0,              0.0706,           0.0032667,           0.0032667
                   1,            0.034413,            0.012494,                   0,             0.92749,               0.835,             0.89746,             0.50496,            0.034856,            0.010679,                   0,            0.040382,           0.0063822,           0.0063822
                   2,            0.036363,            0.011911,                   0,             0.88802,             0.79304,             0.88444,             0.45998,            0.038015,             0.01101,                   0,           0.0099444,           0.0092777,           0.0092777
                   3,             0.03768,            0.011749,                   0,             0.85695,                 0.8,             0.84691,             0.42474,             0.04072,             0.01216,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.036843,            0.011666,                   0,             0.89182,             0.82435,             0.87123,             0.41267,            0.040774,             0.01076,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.034719,            0.010965,                   0,             0.90422,                0.83,             0.87527,             0.47318,            0.038762,            0.010487,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.034186,            0.010991,                   0,             0.92358,               0.875,             0.92477,             0.51364,            0.035404,           0.0097419,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.033998,              0.0105,                   0,             0.95932,                0.89,             0.94182,             0.54012,            0.033522,           0.0097237,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.032904,            0.010047,                   0,             0.95302,                0.87,             0.93675,             0.52542,            0.035388,           0.0099495,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.032218,            0.010225,                   0,             0.97743,               0.855,              0.9304,              0.5512,            0.032072,            0.010145,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.030503,            0.010086,                   0,             0.92126,               0.855,             0.90732,             0.54834,            0.033222,            0.010627,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.029714,           0.0096294,                   0,             0.95881,               0.865,             0.93201,             0.55625,            0.032055,            0.010359,                   0,              0.0067,              0.0067,              0.0067
                  12,             0.02853,             0.00961,                   0,             0.93707,               0.885,             0.93603,             0.56295,            0.031751,           0.0098787,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.028086,           0.0094796,                   0,             0.93471,               0.875,             0.92049,             0.53809,            0.032844,            0.010317,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.028009,            0.009055,                   0,             0.95698,             0.88986,              0.9456,             0.55958,            0.032588,           0.0097117,                   0,             0.00571,             0.00571,             0.00571
                  15,              0.0267,           0.0091571,                   0,             0.94012,               0.905,             0.94917,             0.58999,            0.030309,           0.0096745,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.026708,            0.009218,                   0,             0.94742,               0.885,             0.93024,             0.56663,            0.032109,           0.0096359,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.026269,           0.0090776,                   0,             0.96008,                0.89,             0.93537,             0.59072,            0.030795,           0.0099231,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.026106,           0.0089346,                   0,             0.96176,                 0.9,             0.93447,             0.58733,             0.03081,           0.0095412,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.025686,            0.008728,                   0,             0.95461,                0.89,              0.9358,             0.60587,            0.029833,           0.0094532,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.024836,           0.0085652,                   0,             0.94207,               0.875,             0.93217,             0.60173,            0.029822,           0.0097332,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.024441,           0.0082711,                   0,             0.94707,              0.8946,             0.92874,             0.59009,            0.031238,            0.010009,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.023847,           0.0084174,                   0,             0.95689,             0.88797,             0.94013,             0.60378,            0.029909,           0.0098431,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.022899,           0.0082946,                   0,             0.95273,             0.90689,             0.95071,             0.60767,            0.030336,           0.0095831,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.022702,           0.0079408,                   0,              0.9586,             0.92609,             0.94927,             0.62594,            0.028996,           0.0090609,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.021891,           0.0074271,                   0,             0.96867,              0.9276,             0.94722,             0.61733,            0.028863,           0.0095663,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.022433,           0.0079494,                   0,             0.96195,                0.93,             0.95477,             0.62235,            0.028925,            0.009422,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.022355,           0.0079765,                   0,             0.95265,               0.925,             0.94967,             0.63137,            0.028505,           0.0094481,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.021329,           0.0077492,                   0,             0.97314,             0.90561,             0.94572,             0.63278,            0.028389,           0.0094147,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.021128,           0.0073242,                   0,             0.97638,                0.91,             0.94297,             0.62537,            0.028251,           0.0095149,                   0,             0.00076,             0.00076,             0.00076
