               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092555,            0.053932,                   0,             0.20142,             0.18447,             0.11514,            0.035216,            0.075996,            0.039214,                   0,            0.070009,           0.0033323,           0.0033323
                   1,            0.069068,            0.051376,                   0,              0.5236,             0.37858,             0.40126,             0.16774,            0.060501,            0.035844,                   0,            0.039943,           0.0065996,           0.0065996
                   2,            0.060588,            0.048512,                   0,             0.61352,             0.47082,             0.51229,             0.24173,            0.053848,            0.034091,                   0,           0.0098114,            0.009801,            0.009801
                   3,            0.055132,            0.046454,                   0,             0.68887,              0.5238,             0.59126,             0.30488,            0.049389,            0.031773,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.052166,            0.044878,                   0,             0.69834,             0.55405,             0.62383,             0.33668,            0.047207,            0.030827,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.05018,            0.043647,                   0,             0.71825,             0.57205,             0.64937,             0.35969,            0.045658,            0.030035,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.048785,            0.042938,                   0,             0.74124,             0.58238,             0.66968,             0.37761,            0.044574,            0.029468,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.048079,             0.04267,                   0,             0.74434,             0.60017,             0.68146,             0.39246,             0.04365,            0.028951,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.04744,            0.042317,                   0,             0.75843,             0.60156,             0.69289,             0.40515,            0.042847,            0.028565,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.046663,            0.041526,                   0,              0.7572,             0.61242,             0.69999,             0.41289,            0.042275,            0.028337,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.046259,            0.041478,                   0,             0.76149,             0.61678,             0.70764,             0.42193,             0.04171,            0.028065,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.045858,            0.041189,                   0,             0.76244,             0.62779,             0.71524,             0.42925,            0.041254,            0.027778,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.045455,            0.040945,                   0,             0.76951,             0.63166,             0.71958,             0.43478,            0.040875,            0.027568,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045114,            0.040577,                   0,             0.76683,              0.6358,             0.72359,             0.43868,             0.04055,            0.027473,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.044772,             0.04051,                   0,             0.78188,             0.63097,              0.7275,             0.44373,            0.040296,            0.027313,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.044614,            0.040422,                   0,             0.77786,             0.63978,             0.73022,             0.44716,            0.040076,              0.0272,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044252,            0.040034,                   0,             0.77771,             0.63867,             0.73235,             0.45092,            0.039862,            0.027078,                   0,            0.008515,            0.008515,            0.008515
